neighborhood,year,rent
Allston-Brighton,2015,1496
Roxbury,2015,1364
Jamaica Plain,2015,1482
E. Boston,2015,1625
Fenway-Kenmore,2015,2198
Mattapan,2015,1092
S. End,2015,2533
Roslindale,2015,1602
North End,2015,1968
Hyde Park,2015,1154
W. Roxbury,2015,1279
Back Bay,2015,2821
Beacon Hill,2015,2379
Charlestown,2015,2850
Chinatown,2015,2691
South Boston,2015,1778
Misson Hill,2015,1850
Dorchester,2015,1308
Allston-Brighton,2016,1810
Roxbury,2016,1790
Jamaica Plain,2016,1800
E. Boston,2016,1700
Fenway-Kenmore,2016,2900
Mattapan,2016,1350
S. End,2016,3640
Roslindale,2016,1600
North End,2016,2350
Hyde Park,2016,1780
W. Roxbury,2016,1600
Back Bay,2016,2850
Beacon Hill,2016,2450
Charlestown,2016,2600
Chinatown,2016,2455
South Boston,2016,2500
Misson Hill,2016,1810
Dorchester,2016,1900
Allston-Brighton,2017,1900
Roxbury,2017,1750
Jamaica Plain,2017,1820
E. Boston,2017,1730
Fenway-Kenmore,2017,2862
Mattapan,2017,1328
S. End,2017,3600
Roslindale,2017,1602
North End,2017,2355
Hyde Park,2017,1766
W. Roxbury,2017,1560
Back Bay,2017,2920
Beacon Hill,2017,2455
Chinatown,2017,2448
Charlestown,2017,2597
S. Boston,2017,2520
Misson Hill,2017,1839
Dorchester,2017,1920
