station,longtitude,latitude
Science Park,-71.0681641102,42.3666775177
Lechmere,-71.076884,42.370582
North Station,-71.061423,42.365512
Haymarket,-71.058996,42.362498
Government Center,-71.059895,42.359297
Park Street,-71.0622954369,42.3561971861
Bolyston,-71.0648703575,42.3523914894
Arlington,-71.070498,42.351868
Copley,-71.078089,42.349962
Hynes Convention Center,-71.088396,42.348097
Prudential,-71.0815858841,42.3456358101
Symphony,-71.085095,42.342697
Northeastern,-71.0888922215,42.3403227355
Museum of Fine Arts,-71.0954797268,42.3377215443
Longwood Medical Area,-71.100652,42.3377215443
Kenmore,-71.095296,42.348797
Fenway,-71.1043953896,42.3452869056
Downtown Crossing,-71.060788,42.355295
Chinatown,-71.062892,42.352228
Tufts Medical Center,-71.063795,42.349873
Back Bay,-71.0760390759,42.3472772215
Massachusetts Avenue,-71.0832166672,42.3415519196
Ruggles,-71.0905230045,42.3356674788
Roxbury Crossings,-71.0954046249,42.3315274209
Jackson Square,-71.1000823975,42.3227388088
Stony Brook,-71.1028289795,42.3192008078
Green Street,-71.107313633,42.3105691548
Forest Hill,-71.113411,42.300362
South Station,-71.0549998283,42.351709611
Broadway,-71.05713,42.3429
Andrew,-71.05696,42.32955
JFK/UMass,-71.0523927212,42.3214378629
Savin Hill,-71.0532295704,42.311307017
Fields Corner,-71.0607075691,42.3002619819
Shawmut,-71.0657823086,42.2927943769
Ashmont,-71.064219,42.285924
Cedar Grove,-71.0597419739,42.278420118
Bowdoin,-71.062129,42.361457
Aquarium,-71.05357,42.359456
Maverick,-71.039926,42.36886
Airport,-71.035194397,42.3727334327
Wood Island,-71.023394,42.380797
Orient Heights,-71.006628,42.386676
Suffolk Downs,-71.0003578663,42.3884015915
Beachmont,-70.992193222,42.3974187182
Charles/MGH,-71.0720801353,42.3612710899
Blandford Street,-71.100796,42.349297
Boston University East,-71.103825,42.349648
Boston University central,-71.1061871052,42.3499335211
Boston University west,-71.1140727997,42.350900862
St. Paul Street,-71.1159074306,42.3511308015
Pleasant Street,-71.1182141304,42.3513448824
Babcock Street,-71.1212611198,42.3517413265
Packards Corner,-71.1248660088,42.3520743376
Harvard Avenue,-71.1310243607,42.3502348256
Griggs Street,-71.1341571808,42.3487124302
Allston Street,-71.1377835274,42.3484428354
Warren Street,-71.140294075,42.3484745525
Washington Street,-71.1428689957,42.3436850916
Sutherland Street ,-71.1466240883,42.3414964086
Chiswick Road,-71.1513018608,42.3403385961
South Street,-71.1577820778,42.3395772832
Boston College,-71.1661934853,42.3399420801
Chestnut Hill,-71.1533403397,42.338086352
